KEYS;fr;de
TR_FONCTION_SOLDAT_DE_CHARS_NAME;Soldat de chars;Panzersoldat
TR_FONCTION_SOLDAT_DE_CHASSEUR_DE_CHARS_NAME;Soldat de chasseur de chars;Panzerjägersoldat
TR_FONCTION_SOLDAT_DE_PROTECTION_D_INFRASTRUCTURE_NAME;Soldat de protection d'infrastructure;Infrastrukturschutzsoldat
TR_FONCTION_SOLDAT_DE_PROTECTION_D_OUVRAGE_NAME;Soldat de protection d'ouvrage;Werkschutzsoldat
TR_FONCTION_SOLDAT_DE_RAVITAILLEMENT_NAME;Soldat de ravitaillement;Nachschubsoldat
TR_FONCTION_SOLDAT_DE_RENSEIGNEMENT_TOPOGRAPHE_NAME;Soldat de renseignement / Topographe;Nachrichtensoldat / Vermesser
TR_FONCTION_SOLDAT_DE_SAUVETAGE_NAME;Soldat de sauvetage;Rettungssoldat
TR_FONCTION_SOLDAT_DE_SECURITE_D_INFRASTRUCTURE_NAME;Soldat de sécurité d'infrastructure;Infrastruktursicherheitssoldat
TR_FONCTION_SOLDAT_DE_SPORT_NAME;Soldat de sport;Sportsoldat
TR_FONCTION_SOLDAT_DE_SURETE_ACFA_NAME;Soldat de sûreté ACFA;FULW Sicherungssoldat
TR_FONCTION_SOLDAT_DE_SURETE_D_OUVRAGE_NAME;Soldat de sûreté d'ouvrage;Werksicherheitssoldat
TR_FONCTION_SOLDAT_DE_SURETE_NAME;Soldat de sûreté;Sicherungssoldat
TR_FONCTION_SOLDAT_DE_TRANSMISSION_NAME;Soldat de transmission;Übermittlungssoldat
TR_FONCTION_SOLDAT_DU_TRAIN_NAME;Soldat du train;Trainsoldat
TR_FONCTION_SOLDAT_FORCES_SPECIALES_NAME;Soldat forces spéciales;Spezialkräfte Soldat
TR_FONCTION_SOLDAT_METEOROLOGUE_NAME;Soldat météorologue;Wettersoldat
TR_FONCTION_SOLDAT_NBC_NAME;Soldat ABC;ABC Soldat
TR_FONCTION_SOLDAT_RADAR_NAME;Soldat radar;Radarsoldat
TR_FONCTION_SOLDAT_SANITAIRE_NAME;Soldat sanitaire;Sanitätssoldat
TR_FONCTION_SOLDAT_SPECIALISE_EN_TECHNIQUE_D_OUVRAGE_NAME;Soldat spécialisé en technique d'ouvrage;Werktechniksoldat
TR_FONCTION_SOLDAT_TECHNIQUE_D_INFRASTRUCTURE_NAME;Soldat technique d'infrastructure;Infrastrukturtechniksoldat
TR_FONCTION_SOLDAT_VETERINAIRE_NAME;Soldat vétérinaire;Veterinärsoldat
TR_FONCTION_SPECIALISTE_DE_MONTAGNE_NAME;Spécialiste de montagne;Gebirgsspezialist
TR_FONCTION_SPECIALISTE_DU_SERVICE_PSYCHOLOGIQUE_ET_PEDAGOGIQUE_DE_L_ARMEE_NAME;Spécialiste du service psychologique et pédagogique de l'Armée;Spezialist psychologisch pädagogischer Dienst der Armee
TR_FONCTION_SURETE_DE_BASE_AERIENNE_ET_DE_TRANSPORT_AERIEN_NAME;Sûreté de base aérienne et de transport aérien;Flugplatz und Lufttransportsicherung
TR_FONCTION_TAMBOUR_NAME;Tambour;Tambour
TR_FONCTION_TROMPETTE_NAME;Trompette;Trompeter

























































































